key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,PDF files
rayyan-401776388,"Infection Prevention, Planetary Health, and Single-Use Plastics",2023,11,,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,0098-7484,330,20,1947-1948,"Smith, Matthew and Singh, Hardeep and Sherman, Jodi D.",,English,AMER MEDICAL ASSOC,"330 N WABASH AVE, STE 39300, CHICAGO, IL 60611-5885 USA",,"",10.1001/jama.2023.20550,"",,,""
rayyan-401776389,The relationship between low-consumption single-use plastic awareness and behaviour: a case study of FPT University students (Ho Chi Minh Branch),2025,1,,INTERNATIONAL JOURNAL OF SUSTAINABILITY IN HIGHER EDUCATION,1467-6370,26,1,201-216,"Nguyen, Nhi Yen and Tran, Hao Gia and Tra, Dang Thanh and Le, Nhung Tuyet and Nguyen, Hien Thi Thuy",,English,EMERALD GROUP PUBLISHING LTD,"Floor 5, Northspring 21-23 Wellington Street, Leeds, W YORKSHIRE, ENGLAND",,"",10.1108/IJSHE-04-2023-0133,Awareness; Environment; Behaviour; Student; Single-use plastic products; FTP,,,""
rayyan-401776390,Reducing single-use plastics in dental practice: a quality improvement project,2024,9,,BRITISH DENTAL JOURNAL,0007-0610,237,6,483-486,"Hashemizadeh, Ali and Lyne, Alexandra and Liddicott, Meg",,English,SPRINGERNATURE,"CAMPUS, 4 CRINAN ST, LONDON, N1 9XW, ENGLAND",,"",10.1038/s41415-024-7836-3,"",,,""
rayyan-401776391,"Assessing the impact of banning the single-use plastic carrier bags: a case study for Kenyan marine environment looking at macro, meso, and microplastics",2024,3,,ENVIRONMENTAL MONITORING AND ASSESSMENT,0167-6369,196,3,,"Kosore, Charles and Waiyaki, Edward and Kimanga, Faith",,English,SPRINGER,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS",,"",10.1007/s10661-024-12473-w,Ban; Single-use plastic carrier bags; Monitoring; Marine environment; Plastic pollution; Kenya,,,""
rayyan-401776392,"Plastic monsters: Abjection, worms, the Cthulhic, and the black single-use plastic bag",2023,6,,ENVIRONMENT AND PLANNING D-SOCIETY \& SPACE,0263-7758,41,3,529-548,"Gibson, Lydia",,English,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND",,"",10.1177/02637758231178031,Chthulucene; environmental policy; Haraway; Kristeva; materialism; posthumanism,,,""
rayyan-401776393,Mindful Choices: Unveiling the Driving Factors behind Consumers' Intention to Reduce Single-Use Plastic Utensils,2024,1,,SUSTAINABILITY,,16,2,,"Shin, Ju Yeon and Kim, Eojina and Jang, Yoon Jung and Singal, Manisha",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,"",10.3390/su16020710,consumer behavioral intention; single-use plastic utensils; takeaway food from a restaurant; theo...,,,""
rayyan-401776394,Understanding consumers' purchase intentions of single-use plastic products,2023,2,,FRONTIERS IN PSYCHOLOGY,1664-1078,14,,,"Sun, Ying and He, Haonan",,English,FRONTIERS MEDIA SA,"AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND",,"",10.3389/fpsyg.2023.1105959,theory of planned behavior; normative social influence; informational social influence; positive ...,,,""
rayyan-401776395,Effects of external and internal influences on intentions to avoid single-use plastic bags,2024,,,GLOBAL BUSINESS AND ECONOMICS REVIEW,1097-4954,30,2,176-188,"Geetha, Rajendran and Padmavathy, Chandrasekaran",,English,INDERSCIENCE ENTERPRISES LTD,"WORLD TRADE CENTER BLDG, 29 ROUTE DE PRE-BOIS, CASE POSTALE 856, CH-1215 GENEVA, SWITZERLAND",,"",10.1504/GBER.2024.136423,single-use plastic bags; green advertisements; incentives; government policies; extrinsic motivat...,,,""
rayyan-401776396,The power of biojustice environmentalism in the Global South: insights from the politics of reducing single-use plastics in Guatemala,2024,,,JOURNAL OF ENVIRONMENTAL PLANNING AND MANAGEMENT,0964-0568,,,,"Dauvergne, Peter and Lehnhoff, Katherine Poole",,English,"ROUTLEDGE JOURNALS, TAYLOR \& FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",,"",10.1080/09640568.2024.2386550,environmentalism; Guatemala; local people; plastics; politics,,,""
rayyan-401776397,Industry-Challenge to Pro-Environmental Manufacturing of Goods Replacing Single-Use Plastic by Indian Industry: A Study Toward Failing Ban on Single-Use Plastic Access,2023,,,IEEE ACCESS,2169-3536,11,,77336-77346,"Shabbiruddin and Kanwar, Neeraj and Jadoun, Vinay Kumar and Jayalakshmi, N. S. and Afthanorhan, Asyraf and Fatema, Nuzhat and Malik, Hasmat and Hossaini, Mohammad Asef",,English,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,"445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA",,"",10.1109/ACCESS.2023.3296097,Single-use plastic; challenging factors; environment; fuzzy; triangular fuzzy numbers (TFN),,,""
